date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2026-05-22,2483190,1962700,2215200,2605790,2532480,1142710,2183900,2863680,2272360,3768760,4399460,264710,1190970,2399830,2536520,3472040,3892270,1174180,252490,4351410,1361210,2186680,1304930,3321460,3041230,1295660,632360,3124540,848450,381210,2868840,413150,4440380,227300,582660,1808500,1245620,4165870,3527290,2694490,4197610,553850,3240220,601150,3405690,3932890,270880,3542380,3241660,39210,3079210,3357650,1332010,1295500,1086940,306130,3526710,594570,1151340,3105440,4558510,3751950,3404260,3764200,3164500,3161220,440900,1966720,4216130,281990,1285190,311210,1940340,266410,4128580,3606480,364360,2479810,2781620,2747330,2688950,3008130,3871390,1933000,631510,431960,394360,1144200,2537590,3341000,648800,4466620,1604030,703080,3412160,949230,1158310,739630,294100,1091500
2026-05-23,2483190,2215200,1962700,2605790,2183900,1142710,3768760,264710,2272360,3892270,3472040,2536520,1174180,2399830,2532480,1304930,3321460,632360,3041230,252490,1361210,3405690,2863680,2186680,1190970,381210,3124540,2868840,4399460,1295660,848450,2694490,3240220,227300,3527290,553850,1245620,1808500,4440380,1086940,3357650,3241660,39210,4351410,270880,601150,3932890,753640,582660,4197610,3105440,4128580,3079210,594570,3751950,3764200,1295500,3404260,3542380,3164500,2747330,1966720,306130,1285190,440900,3526710,2781620,2537590,1144200,1332010,3412160,648800,3008130,1091500,431960,1903340,1778820,1151340,364360,2479810,281990,1158310,949230,294100,739630,2300320,394360,413150,266410,631510,703080,2688950,3237970,1172710,284160,3672400,346110,1677280,1874880,1643320
2026-05-24,2483190,1962700,2215200,2183900,2605790,3768760,1142710,3892270,264710,1174180,3321460,3472040,3041230,2399830,1304930,2536520,381210,3124540,632360,2868840,3405690,1361210,2272360,1295660,4197610,252490,227300,3527290,2694490,848450,2186680,1245620,1190970,553850,3240220,3241660,1086940,270880,3357650,4440380,1808500,2532480,39210,2863680,601150,3105440,753640,2747330,582660,3764200,440900,3404260,3932890,4399460,1285190,3164500,3079210,4128580,3008130,1144200,3751950,4351410,648800,1966720,949230,2479810,2781620,594570,431960,2537590,3526710,413150,1903340,1091500,739630,2300320,1778820,294100,1332010,281990,3542380,1172710,1158310,306130,1295500,284160,3672400,1874880,631510,346110,1677280,1643320,2622380,364360,703080,3412160,427520,3949040,246620,329050
2026-05-25,2483190,1962700,2215200,3768760,2183900,4197610,2605790,3892270,1174180,264710,1142710,3472040,3321460,3041230,1304930,381210,2399830,632360,2536520,3124540,2868840,1361210,3527290,2694490,3405690,3240220,848450,252490,1295660,2186680,2272360,553850,3241660,1245620,39210,1190970,4440380,601150,1086940,1808500,227300,3357650,2747330,3105440,2863680,1778820,270880,440900,3164500,306130,582660,1285190,3404260,3932890,3764200,393380,2532480,1151340,3008130,3079210,1144200,2479810,648800,753640,2300320,4128580,266410,594570,281990,1966720,413150,739630,3672400,2781620,1903340,294100,949230,1158310,631510,1091500,431960,3751950,1172710,394360,4399460,329050,3526710,284160,3542380,246620,4351410,1332010,1874880,1295500,2537590,1643320,703080,346110,3606480,3949040
2026-05-26,1118520,2483190,1962700,3768760,2215200,2183900,4197610,3892270,3240220,2605790,3009300,1142710,381210,3321460,2399830,3041230,3472040,1304930,1174180,2868840,275850,264710,3124540,3405690,632360,1190970,1361210,233860,2694490,252490,2536520,3527290,1245620,1295660,1778820,553850,4630570,1086940,3241660,2186680,4440380,39210,1808500,753640,3932890,393380,2272360,3357650,2747330,440900,1119730,3164500,306130,582660,3079210,1222140,2863680,848450,3105440,266410,1547000,435150,3764200,3404260,513710,1144200,601150,1903340,1239080,281990,594570,1158310,337000,413150,949230,648800,2300320,3751950,2681030,2784470,739630,1285190,1966720,4128580,294100,2537590,431960,1151340,1091500,270880,3542380,3672400,3008130,284160,3526710,1332010,2781620,1364780,1631270,394360
2026-05-27,3768760,2483190,1118520,1962700,2215200,3240220,2183900,4165870,784080,1805320,4197610,381210,4371500,3892270,2261430,3009300,1142710,233860,2399830,1304930,275850,3321460,2694490,2868840,3405690,3159330,3472040,2605790,3041230,252490,1778820,1361210,753640,1190970,39210,3124540,632360,1119730,1816640,3527290,1245620,2186680,553850,3241660,1086940,3932890,1808500,1222140,1547000,4440380,1295660,1623730,435150,2499860,1239080,2893570,3065800,3357650,2784470,393380,4630570,2747330,3164500,3079210,2272360,440900,582660,1151340,3751950,2719750,3764200,2982610,12210,3105440,3404260,3115220,431960,1364780,1903340,337000,2597080,1144200,413150,4128580,294100,594570,4135750,2863680,2537590,266410,1202130,1332010,306130,4129110,2300320,1091500,281990,739630,1158310,1966720
2026-05-28,1675200,3768760,2483190,1118520,1962700,2215200,1116050,3240220,1778820,2183900,381210,3892270,4197610,1805320,1304930,1142710,275850,784080,2399830,2694490,3159330,3321460,2868840,1771300,233860,4371500,3472040,3405690,3041230,252490,3009300,2499860,1361210,1190970,990080,2261430,1245620,4264260,4165870,2605790,3124540,2893570,3241660,632360,2186680,753640,1623730,2597080,3527290,1364780,2057760,39210,3932890,553850,1086940,4440380,1119730,1295660,1808500,3079210,2175540,582660,3065800,3357650,1696780,1151340,1569580,440900,1222140,306130,1547000,3164500,435150,2221490,3751950,2495100,2272360,266410,1943950,3115220,3764200,2747330,4111370,393380,4128580,3404260,1401590,431960,2982610,1295510,2719750,4630570,294100,1239080,594570,281990,3105440,1144200,2784470,413150
2026-05-29,1675200,2483190,3768760,1118520,1962700,1364780,2215200,1144200,3219030,1778820,2183900,3240220,2694490,381210,489830,252490,3892270,3079210,1116050,2904040,275850,4197610,1771300,1805320,2399830,3321460,1304930,582660,3583210,3405690,2868840,306130,3472040,990080,3041230,1142710,1245620,2893570,3159330,3198890,1943950,39210,1190970,1361210,3124540,1086940,3009300,2141730,3410460,3932890,553850,3410470,3241660,3527290,784080,2499860,632360,2261430,2605790,1808500,2057760,2623190,233860,4440380,1623730,1332010,753640,3357650,1295660,3764200,3164500,813780,1295510,1297900,1190000,1569580,2221490,281990,393380,266410,3404260,440900,3751950,435150,2272360,653530,1222140,4371500,2597080,2175540,1151340,431960,2186680,4128580,219990,1044720,1547000,294100,3105440,2747330
2026-05-30,2483190,3768760,2694490,1675200,1118520,1875580,1962700,2215200,1144200,3240220,3079210,2183900,381210,489830,1364780,3892270,252490,3321460,3405690,3472040,2399830,275850,1778820,4197610,1805320,306130,2868840,1943950,1771300,3219030,3041230,39210,2893570,2141730,1245620,1086940,1190000,1116050,3241660,1332010,553850,2904040,582660,2499860,3527290,3932890,3583210,3124540,1190970,3159330,1361210,2605790,1808500,632360,1295660,990080,3357650,1297900,3764200,2623190,1623730,1151340,3009300,4440380,2261430,784080,266410,1295510,3936730,3198890,513710,440900,393380,281990,3164500,3404260,3105440,753640,431960,3751950,813780,284160,2221490,1091500,1158310,739630,653530,294100,394360,2300320,1222140,413150,648800,376210,949230,1547000,435150,2175540,703080,4128580
2026-05-31,2483190,2694490,3768760,1118520,1675200,1962700,2215200,1144200,1875580,2183900,3240220,381210,3892270,489830,3321460,1943950,3079210,2399830,1805320,275850,3041230,1364780,4197610,2868840,3472040,252490,2141730,1771300,1245620,1778820,3405690,1086940,1332010,3241660,3527290,306130,2893570,553850,39210,3124540,1361210,3932890,1190000,2499860,3159330,1190970,632360,1295660,1808500,1116050,2605790,582660,3357650,1297900,1623730,3105440,2904040,3764200,990080,3219030,3583210,4440380,2623190,3164500,440900,513710,1295510,431960,393380,2537590,2261430,284160,1091500,949230,784080,3404260,294100,3009300,2300320,739630,3751950,413150,4128580,281990,648800,1285190,1222140,753640,270880,1158310,2221490,703080,1547000,427520,435150,2747330,4194800,2622380,376210,227300
